Category,SubCategory,Extension,Products
Household,Bathroom,Toilet Cleaners,0
Household,Cleaning Goods,Air Fresheners,192
Household,Cleaning Goods,Bathroom Cleaners,43
Household,Cleaning Goods,Disinfectant & Bleach,40
Household,Cleaning Goods,Drain Cleaners & Solvents,14
Household,Cleaning Goods,"Fabric, Metal & Furniture Care",16
Household,Cleaning Goods,Floor/Carpet Cleaners,39
Household,Cleaning Goods,Gloves,46
Household,Cleaning Goods,Kitchen Cleaners,25
Household,Cleaning Goods,"Mops, Buckets & Brooms",64
Household,Cleaning Goods,Mould & Moisture Treatments,4
Household,Cleaning Goods,Multipurpose Cleaners,121
Household,Cleaning Goods,"Sponges, Cloths & Wipes",131
Household,Cleaning Goods,Window & Glass Cleaners,10
Household,Garden & Outdoors,Automotive,80
Household,Garden & Outdoors,Garden Décor & Accessories,4
Household,Garden & Outdoors,"Gloves, Tools & Watering",21
Household,Garden & Outdoors,Insecticide & Weed Control,27
Household,Garden & Outdoors,Lawn Care & Plant Food,9
Household,Garden & Outdoors,Potting Mix & Fertilisers,19
Household,Garden & Outdoors,Seeds & Plants,24
Household,Hardware,"Adhesives, Glues & Tapes",25
Household,Hardware,Hooks & Fasteners,23
Household,Hardware,Tools & Accessories,69
Household,Homewares,Water Filtration,0
Household,Kitchen,"​​Cling Wrap, Foil & Baking Paper:",0
Household,Kitchen,Dishwashing,142
Household,Kitchen,Garbage Bags,58
Household,Kitchen,Gloves,46
Household,Kitchen,Lunch Boxes & Drink Bottles,114
Household,Kitchen,Sandwich & Freezer Bags,56
Household,Laundry,Fabric Softener,72
Household,Laundry,Ironing & Accessories,25
Household,Laundry,Laundry Liquid,90
Household,Laundry,Laundry Powder,33
Household,Laundry,"Pegs, Baskets & Hangers",26
Household,Laundry,Stain Removal,71
Household,Pest Control,Crawling Insects,48
Household,Pest Control,Flying Insects,30
Household,Pest Control,Garden Pests,10
Household,Pest Control,Insect Repellent,56
Household,Pest Control,Mosquitoes,21
Household,Pest Control,Rodents,11
Household,Clothing Accessories,Hosiery,0
Household,Clothing Accessories,Socks,0
Household,Clothing Accessories,Underwear,0
Household,Parties & Entertaining,Candles,0
Household,Parties & Entertaining,Decorations,0
Baby,Baby Accessories,Baby Bibs,0
Baby,Baby Accessories,Baby Health & Safety,1
Baby,Baby Accessories,Baby Teething & Soothers,0
Baby,Baby Accessories,Baby Toys & Playtime,0
Baby,Baby Accessories,Bath & Skincare,1
Baby,Baby Accessories,Bottles and Baby Feeding,0
Baby,Baby Food,Baby Food 12 Months+,0
Baby,Baby Food,Baby Food 4 Months+,0
Baby,Baby Food,Baby Food 6 Months+,0
Baby,Baby Food,Baby Food 8 Months+,0
Baby,Baby Food,Baby & Toddler Snacks,1
Baby,Baby Food,Organic Baby Food,0
Baby,Baby Formula,Infant,0
Baby,Baby Formula,Newborn,0
Baby,Baby Formula,Specialty,0
Baby,Baby Formula,Toddler,0
Baby,Nappies Wipes,Nappies 12-18 Months (9-12kg),0
Baby,Nappies Wipes,Nappies 18 Months+ (10kg+),0
Baby,Nappies Wipes,Nappies 3-6 Months (5-7kg),0
Baby,Nappies Wipes,Nappies 6-12 Months (7-10kg),0
Baby,Nappies Wipes,Nappy Pants,0
Baby,Nappies Wipes,Newborn Nappies (3-5kg),0
Baby,Nappies Wipes,Swimming Nappies,0
Baby,Nappies Wipes,Wipes & Nappy Changing,0
Pantry,Baking,Bread Mix,13
Pantry,Baking,Cooking Chocolate & Cocoa,37
Pantry,Baking,"Flavouring, Essence & Food Colouring",39
Pantry,Baking,Flour,56
Pantry,Baking,Icing & Cake Decorating,75
Pantry,Baking,"Nuts, Seeds & Coconut",77
Pantry,Baking,Sugar & Sweeteners,79
Pantry,Baking,Yeast & Baking Ingredients,6
Pantry,Baking,Cake & Dessert Mix,142
Pantry,Baking,Pancake Mix,17
Pantry,Baking,Dried Fruit,88
Pantry,Baking,Gluten Free Baking,129
Pantry,Breakfast & Spreads,Breakfast Cereal,132
Pantry,Breakfast & Spreads,Honey,78
Pantry,Breakfast & Spreads,Jam,82
Pantry,Breakfast & Spreads,Savoury Spread,29
Pantry,Breakfast & Spreads,Muesli & Oats,158
Pantry,Breakfast & Spreads,Breakfast Snacks & Drinks,60
Pantry,Breakfast & Spreads,Sweet Spread,19
Pantry,Canned Food & Instant Meals,Baked Beans & Spaghetti,56
Pantry,Canned Food & Instant Meals,Canned Beans & Legumes,119
Pantry,Canned Food & Instant Meals,Canned Fruit,125
Pantry,Canned Food & Instant Meals,Canned Meat,38
Pantry,Canned Food & Instant Meals,Canned Salmon & Seafood,106
Pantry,Canned Food & Instant Meals,Canned Soup & Soup Ingredients,201
Pantry,Canned Food & Instant Meals,Canned Vegetables,145
Pantry,Canned Food & Instant Meals,Instant Meals & Sides,117
Pantry,Canned Food & Instant Meals,Canned Tomatoes,41
Pantry,Canned Food & Instant Meals,Canned Tuna,143
Pantry,Canned Food & Instant Meals,Instant Noodles,85
Pantry,Condiments,Mustard,24
Pantry,Condiments,Sweet Chilli & Hot Sauce,69
Pantry,Condiments,Tomato & BBQ Sauce,70
Pantry,Condiments,Chutney & Relish,99
Pantry,Condiments,Fruit Sauce,10
Pantry,Condiments,Mayonnaise,72
Pantry,Condiments,Pickled Vegetables,122
Pantry,Condiments,Salad Dressings,175
Pantry,Ice Cream Cones,"Ice Cream Cones, Syrups & Toppings",0
Pantry,Desserts,"Custard, Cream & Yoghurt",0
Pantry,Desserts,"Ice Cream Cones, Syrups & Toppings",25
Pantry,Desserts,Jelly,41
Pantry,Desserts,Puddings,28
Pantry,Desserts,Ready to Freeze Ice Blocks,18
Pantry,Desserts,Dried Herbs & Spices,0
Pantry,Health Foods,Health Breakfast Food & Spread,0
Pantry,Health Foods,Health Cooking & Pasta,0
Pantry,Health Foods,Health Snacks & Drinks,0
Pantry,Herbs & Spices,Dried Herbs & Spices,303
Pantry,Herbs & Spices,Salt & Pepper,65
Pantry,Herbs & Spices,Breadcrumbs & Stuffings,0
Pantry,Herbs & Spices,"Fresh Herbs, Garlic & Ginger Paste",0
Pantry,Herbs & Spices,Sweet Chilli & Hot Sauce,0
Pantry,International Foods,Asian,657
Pantry,International Foods,European,59
Pantry,International Foods,Indian,214
Pantry,International Foods,Mexican,136
Pantry,International Foods,Middle Eastern,72
Pantry,International Foods,South African,30
Pantry,International Foods,UK Foods,61
Pantry,International Foods,Italian,152
Pantry,International Foods,Kosher,2
Pantry,"Pasta, Rice & Grains",Beans & Legumes,43
Pantry,"Pasta, Rice & Grains",Rice,125
Pantry,"Pasta, Rice & Grains",Dried Pasta,122
Pantry,"Pasta, Rice & Grains",Gluten Free Pasta,18
Pantry,"Pasta, Rice & Grains",Pasta Meals,49
Pantry,"Pasta, Rice & Grains",Pasta Sheets,22
Pantry,"Pasta, Rice & Grains","Quinoa, Cous Cous & Other Grains",13
Pantry,"Sauce, Oil & Vinegar",Marinades & Seasoning,0
Pantry,"Sauce, Oil & Vinegar",Pizza & Pasta Sauce,0
Pantry,"Sauce, Oil & Vinegar",Soy & Asian Sauces,0
Pantry,"Sauce, Oil & Vinegar",Stock & Gravy,0
Pantry,Tea & Coffee,Black Tea,72
Pantry,Tea & Coffee,Green Tea,20
Pantry,Tea & Coffee,Herbal & Specialty Tea,180
Pantry,Tea & Coffee,Coffe Beans,0
Pantry,Tea & Coffee,Coffe Capsules,0
Pantry,Tea & Coffee,Ground Coffee,53
Pantry,Snacks & Confectionery,Biscuits & Cookies,0
Pantry,Snacks & Confectionery,Chocolate Bars,0
Pantry,Snacks & Confectionery,Chocolate Blocks,0
Pantry,Snacks & Confectionery,Chocolate Box,0
Pantry,Snacks & Confectionery,Corn Chips & Salsa,0
Pantry,Snacks & Confectionery,Lollies,0
Pantry,Snacks & Confectionery,Muesli Bars & Snack,0
Fruit & Veg,Fruit,Apples & Pears,17
Fruit & Veg,Fruit,Bananas,7
Fruit & Veg,Fruit,Berries & Cherries,18
Fruit & Veg,Fruit,Grapes,10
Fruit & Veg,Fruit,Melons & Mangoes,14
Fruit & Veg,Fruit,Pineapples & Kiwi Fruit,0
Fruit & Veg,Fruit,Tropical & Exotic Fruit,0
Fruit & Veg,Fruit,Citrus Fruit,14
Fruit & Veg,Fruit,Cut Fruit,8
Fruit & Veg,Organic,Organic Salad,67
Fruit & Veg,Organic,Organic Fruit,17
Fruit & Veg,Organic,Organic Vegetables,52
Fruit & Veg,Salad,Organic Salad,67
Fruit & Veg,Salad,Salad Bags,16
Fruit & Veg,Salad,Herbs,0
Fruit & Veg,Salad,Sprouts,3
Fruit & Veg,Vegetables,Avocados,11
Fruit & Veg,Vegetables,"Peas, Beans, Corn & Asparagus",15
Fruit & Veg,Vegetables,Prepacked Vegetables,83
Fruit & Veg,Vegetables,"Broccoli, Cauliflower & Cabbage",22
Fruit & Veg,Vegetables,Capsicum & Mushrooms,0
Fruit & Veg,Vegetables,Onions & Leeks,0
Fruit & Veg,Vegetables,Cucumber,8
Fruit & Veg,Vegetables,Potatoes & Pumpkins,38
Fruit & Veg,Vegetables,Tomatoes,24
Fruit & Veg,Vegetables,"Zucchini, Eggplant & Squash",9
"Poultry, Meat & Seafood",BBQ Meat & Seafood,Burgers & Sausages,40
"Poultry, Meat & Seafood",BBQ Meat & Seafood,Chicken,18
"Poultry, Meat & Seafood",BBQ Meat & Seafood,Lamb,8
"Poultry, Meat & Seafood",BBQ Meat & Seafood,Prawns,5
"Poultry, Meat & Seafood",BBQ Meat & Seafood,Pork,5
"Poultry, Meat & Seafood",Seafood,Crab & Lobster,3
"Poultry, Meat & Seafood",Seafood,Prepacked Seafood,0
Freezer,Chips & Wedges,Chips,45
Freezer,Chips & Wedges,Hashbrowns,18
Freezer,Chips & Wedges,Wedges,3
Freezer,Frozen Desserts,Assorted Desserts,10
Freezer,Frozen Desserts,Cakes & Cheesecakes,15
Freezer,Frozen Desserts,Dessert Pies & Pastries,22
Freezer,Frozen Desserts,Pastry Sheets,18
Freezer,Frozen Fruit,Berries & Tropical,37
Freezer,Frozen Meat,Chicken Pieces & Nuggets,57
Freezer,Frozen Meat,Whole Birds & Roasts,3
Freezer,Frozen Party Food,Pastry Sheets,17
Freezer,Frozen Party Food,"Pies, Pastries & Quiches",68
Freezer,Frozen Party Food,Pies & Quiches,1
Freezer,Frozen Pizzas,Pizzas,38
Freezer,Frozen Seafood,Fish Fillets,65
Freezer,Frozen Seafood,Fish Fingers & Cakes,9
Freezer,Frozen Seafood,Frozen Seafood,43
Freezer,Frozen Vegetables,Beans & Peas,25
Freezer,Frozen Vegetables,Corn,7
Freezer,Frozen Vegetables,Mixed Vegetables,29
Freezer,Frozen Vegetables,Other Vegetables,22
Freezer,Frozen Vegetables,Steam Packs,10
Freezer,Ice Cream,Frozen Yoghurt,1
Freezer,Ice Cream,Gelato & Sorbet,19
Freezer,Ice Cream,Ice Cream Sticks & Cones,188
Freezer,Ice Cream,Ice Cream Tubs,94
Freezer,Ice Cream,Premium Ice Cream,85
Bakery,In-Store Bakery,Bread,87
Bakery,In-Store Bakery,Bread Rolls,39
Bakery,In-Store Bakery,Donuts & Cookies,32
Bakery,In-Store Bakery,Pastries & Desserts,23
Bakery,In-Store Bakery,Sourdough & Specialty Bread,65
Bakery,Packaged Bread & Bakery,Bake At Home,6
Bakery,Packaged Bread & Bakery,Cakes,125
Bakery,Packaged Bread & Bakery,Crumpets & Pancakes,11
Bakery,Packaged Bread & Bakery,Desserts & Pastries,35
Bakery,Packaged Bread & Bakery,Gluten-Free,0
Bakery,Packaged Bread & Bakery,"Muffins, Scones & Cupcakes",43
Bakery,Packaged Bread & Bakery,Organic Bakery,6
Bakery,Packaged Bread & Bakery,Packaged Bread,205
Bakery,Packaged Bread & Bakery,Pies & Quiches,31
Bakery,Packaged Bread & Bakery,Pizza Bases,19
Bakery,Packaged Bread & Bakery,Rolls & Bagels,33
Bakery,Packaged Bread & Bakery,Wraps & Flatbread,74
Pet,"Birds, Fish & Small Pets",Bird Treats,18
Pet,"Birds, Fish & Small Pets",Small Pets Food,14
Pet,Cat & Kitten,Chilled Cat Food,11
Pet,Cat & Kitten,Dry Cat Food,52
Pet,Cat & Kitten,Kitten Food,0
Pet,Dog & Puppy,Chilled Dog Food,51
Pet,Dog & Puppy,Frozen Dog Food,1
Pet,Dog & Puppy,Puppy Food,13
Drinks,Chilled Drinks,"Chilled Juices, Iced Teas & Iced Coffee",8
Drinks,Chilled Drinks,Chilled Soft Drinks & Energy Drinks,24
Drinks,Chilled Drinks,Chilled Water,11
Drinks,Coffee,Coffee Beans,79
Drinks,Coffee,Coffee Capsules,121
Drinks,Coffee,Ground Coffee,54
Drinks,Coffee,Instant & Flavoured Coffee,157
Drinks,"Cordials, Juices & Iced Teas",Chilled Juices,247
Drinks,"Cordials, Juices & Iced Teas",Cordials,82
Drinks,"Cordials, Juices & Iced Teas",Iced Teas,18
Drinks,"Cordials, Juices & Iced Teas",Juices,98
Drinks,"Cordials, Juices & Iced Teas",Lunch Box Juice,52
Drinks,Flavoured Milk,Bubble Tea,3
Drinks,Flavoured Milk,Drinking Chocolate,17
Drinks,Flavoured Milk,Drinks & Powders,30
Drinks,Flavoured Milk,Kids Milk,2
Drinks,Long Life Milk,Almond Milk,26
Drinks,Long Life Milk,Condensed & Evaporated Milk,0
Drinks,Long Life Milk,Lactose Free Milk,9
Drinks,Long Life Milk,Oat & Rice Milk,30
Drinks,Long Life Milk,Powdered Milk,6
Drinks,Long Life Milk,Soy Milk,14
Drinks,Soft Drinks,Mixers,133
Drinks,Soft Drinks,Soft Drink Bottles,119
Drinks,Soft Drinks,Soft Drink Cans,93
Drinks,Sports & Energy Drinks,Energy Drinks,88
Drinks,Sports & Energy Drinks,Sports Drinks,53
Drinks,Tea,Black Tea,72
Drinks,Tea,Green Tea,20
Drinks,Tea,Herbal & Specialty Tea,180
Drinks,Water,Flavoured & Coconut Water,135
Drinks,Water,Sparkling Water,30
Drinks,Water,Still Water,57
Deli & Chilled Meats,Deli Meats,Deli Poultry,0
Deli & Chilled Meats,Deli Meats,"Packaged Ham, Bacon & Salami",261
Deli & Chilled Meats,Deli Meats,Sliced & Shaved Deli Meat,181
Deli & Chilled Meats,Deli Specialties,Antipasto,52
Deli & Chilled Meats,Deli Specialties,Dips & Pate,0
Deli & Chilled Meats,Deli Specialties,Gourmet Cheese,263
Deli & Chilled Meats,Deli Specialties,Platters,20
Deli & Chilled Meats,Ready to Eat Meals,Chilled Pizza & Garlic Bread,55
Deli & Chilled Meats,Ready to Eat Meals,Chilled Quiches & Pies,69
Deli & Chilled Meats,Ready to Eat Meals,Chilled Soup,23
Deli & Chilled Meats,Ready to Eat Meals,Entertaining & Sides,7
Deli & Chilled Meats,Ready to Eat Meals,Family Meals,41
Deli & Chilled Meats,Ready to Eat Meals,Fresh Pasta & Sauces,91
Deli & Chilled Meats,Ready to Eat Meals,Packaged Salads,39
Deli & Chilled Meats,Ready to Eat Meals,Single Serve,97
Deli & Chilled Meats,Vegetarian & Vegan,Vegan,54
Deli & Chilled Meats,Vegetarian & Vegan,Vegetarian,31
"Dairy, Eggs & Fridge",Cheese,Block Cheese,41
"Dairy, Eggs & Fridge",Cheese,Cooking Cheese,112
"Dairy, Eggs & Fridge",Cheese,Entertaining Cheese,208
"Dairy, Eggs & Fridge",Cheese,Fetta & Goat's Cheese,29
"Dairy, Eggs & Fridge",Cheese,Grated Cheese,29
"Dairy, Eggs & Fridge",Cheese,Parmesan & Italian Cheese,45
"Dairy, Eggs & Fridge",Cheese,"Ricotta, Cottage & Cream Cheese",22
"Dairy, Eggs & Fridge",Cheese,Sliced Cheese,54
"Dairy, Eggs & Fridge",Cheese,Snacking Cheese,59
"Dairy, Eggs & Fridge",Cheese,Soft Cheese,77
"Dairy, Eggs & Fridge","Cream, Custard & Desserts",Cream,60
"Dairy, Eggs & Fridge","Cream, Custard & Desserts",Custard,26
"Dairy, Eggs & Fridge",Dips & Pate,Dips,133
"Dairy, Eggs & Fridge",Dips & Pate,"Pate, Paste & Caviar",0
"Dairy, Eggs & Fridge","Eggs, Butter & Margarine",Butter & Margarine,97
"Dairy, Eggs & Fridge","Eggs, Butter & Margarine",Eggs,32
"Dairy, Eggs & Fridge",Fresh Pasta & Sauces,Fresh Pasta & Noodles,75
"Dairy, Eggs & Fridge",Fresh Pasta & Sauces,Pasta Sauces,20
"Dairy, Eggs & Fridge",International Foods,Chilled Asian,39
"Dairy, Eggs & Fridge",Milk,Flavoured Milk,236
"Dairy, Eggs & Fridge",Milk,Full Cream Milk,117
"Dairy, Eggs & Fridge",Milk,Lactose Free Milk,12
"Dairy, Eggs & Fridge",Milk,Long Life Milk,96
"Dairy, Eggs & Fridge",Milk,Skim & Reduced Fat Milk,84
"Dairy, Eggs & Fridge",Milk,Soy & Speciality Milk,135
"Dairy, Eggs & Fridge",Ready to Eat Meals,Asian Meals,6
"Dairy, Eggs & Fridge",Ready to Eat Meals,Chilled Pizza & Bread,56
"Dairy, Eggs & Fridge",Ready to Eat Meals,Chilled Ready Meals,217
"Dairy, Eggs & Fridge",Ready to Eat Meals,Chilled Soup,23
"Dairy, Eggs & Fridge",Ready to Eat Meals,Indian Meals,7
"Dairy, Eggs & Fridge",Ready to Eat Meals,Italian Meals,31
"Dairy, Eggs & Fridge",Ready to Eat Meals,Packaged Salads & Sides,81
"Dairy, Eggs & Fridge",Ready to Eat Meals,Vegetarian & Meat Free,10
Health & Beauty,Cosmetics,Cosmetics Other,0
Health & Beauty,Cosmetics,Eyes,120
Health & Beauty,Cosmetics,Face,244
Health & Beauty,Cosmetics,Lips,143
Health & Beauty,Cosmetics,Nails,36
Health & Beauty,Dental Care,Denture Care,0
Health & Beauty,Dental Care,Floss & Mouthwash,0
Health & Beauty,Dental Care,Teeth Whitening,0
Health & Beauty,Dental Care,Toothbrushes,0
Health & Beauty,Dental Care,Toothpaste,0
Health & Beauty,Hair Care,Colouring,259
Health & Beauty,Hair Care,Hair Accessories & Brushes,134
Health & Beauty,Hair Care,Mens Hair Care,0
Health & Beauty,Hair Care,Shampoo & Conditioner,430
Health & Beauty,Hair Care,Styling Products,93
Health & Beauty,Skin Care,Body Moisturiser,188
Health & Beauty,Skin Care,Face Masks & Treatments,72
Health & Beauty,Skin Care,Face Moisturiser,165
Health & Beauty,Skin Care,"Facial Cleansers, Toners & Scrubs",120
Health & Beauty,Skin Care,183 Hand Moisturiser,0
Health & Beauty,Skin Care,Lip Care,44
Health & Beauty,Skin Care,Self-Tanning,43
Health & Beauty,Skin Care,Sun Protection,125
Health & Beauty,First Aid & Medicinal,Bandaids & Bandages,76
Health & Beauty,First Aid & Medicinal,"Cold, Flu & Allergies",151
Health & Beauty,First Aid & Medicinal,Cotton Wool & Cotton Buds,13
Health & Beauty,First Aid & Medicinal,Medicinal Oils & Ointments,0
Health & Beauty,Vitamins,Brain & Heart Health,11
Health & Beauty,Vitamins,Detox & Digestion,0
Health & Beauty,Vitamins,"Hair, Skin & Nails",60
Health & Beauty,Vitamins,Brain & Heart Health,11
